name,lat,lng,ll
Gosport Tavern,39.349143,-86.663583,"39.349143,-86.663583"
Barn of Terror,39.304334,-86.487356,"39.304334,-86.487356"
Mulligan's,39.295986,-86.692026,"39.295986,-86.692026"
Blue Barn Antiques,39.281427,-86.51178,"39.281427,-86.51178"
Butler Winery & Vineyard,39.240651,-86.445828,"39.240651,-86.445828"
Razors Image Barbershop,39.246023,-86.530824,"39.246023,-86.530824"
Stevens Barber Shop,39.230479,-86.426228,"39.230479,-86.426228"
Thompson State Beauty & Barber Supply,39.224715,-86.540192,"39.224715,-86.540192"
Hoosier Bar & Grill,39.216491,-86.593863,"39.216491,-86.593863"
46 Bar and Grill,39.216658,-86.598094,"39.216658,-86.598094"
Beverage Shop,39.22144,-86.606686,"39.22144,-86.606686"
Steve's Barber Shop,39.221153,-86.606428,"39.221153,-86.606428"
Brad's Bar & Grill,39.220568,-86.60676,"39.220568,-86.60676"
Beer Wagon Bar & Grill,39.223265,-86.608655,"39.223265,-86.608655"
Kenny's Tavern,39.234736,-86.624219,"39.234736,-86.624219"
Carter & Co Barber & Beauty,39.23325,-86.624352,"39.23325,-86.624352"
Pepsi-Cola General Bottlers,39.179422,-86.535571,"39.179422,-86.535571"
Iu Tailgating Field,39.177735,-86.524016,"39.177735,-86.524016"
Bart Kaufman Field,39.184584,-86.522695,"39.184584,-86.522695"
Kilroy's Bar & Grill: Sports Bar,39.178718,-86.538723,"39.178718,-86.538723"
Barn Yard Friends,39.151865,-86.38701,"39.151865,-86.38701"
The Wheel Restaurant And Bar at Chapman's,39.164068,-86.473701,"39.164068,-86.473701"
J&J Hookah Lounge,39.165561,-86.46674,"39.165561,-86.46674"
J A Barker Engineering,39.164698,-86.473423,"39.164698,-86.473423"
The Office Lounge & Liquor Store,39.163809,-86.479502,"39.163809,-86.479502"
Better Day Club,39.164492,-86.478048,"39.164492,-86.478048"
Bloomington Barber Shop,39.164737,-86.479401,"39.164737,-86.479401"
C3 Bar,39.149382,-86.49961,"39.149382,-86.49961"
Sushi Bar,39.171304,-86.503175,"39.171304,-86.503175"
56 Degrees Bar,39.154575,-86.496632,"39.154575,-86.496632"
Tropical Smoothie Cafe,39.161869,-86.495572,"39.161869,-86.495572"
Chili's Grill & Bar,39.164595,-86.495678,"39.164595,-86.495678"
Pure Barre,39.162763,-86.4961,"39.162763,-86.4961"
Bart Villa,39.1618,-86.505053,"39.1618,-86.505053"
V's Barbershop,39.156546,-86.497147,"39.156546,-86.497147"
Blast Blowdry Bar,39.163906,-86.494829,"39.163906,-86.494829"
College Mall Barber Shop,39.163917,-86.494747,"39.163917,-86.494747"
Bear's Place,39.16404,-86.516899,"39.16404,-86.516899"
Bloomington Brewing Company,39.17169,-86.510921,"39.17169,-86.510921"
Soma Coffee House and Juice Bar,39.163946,-86.516019,"39.163946,-86.516019"
